Model,128 Memory,512 Memory,1024 Memory,Scaling Factor
distilbert-base-uncased,N/A,N/A,N/A,N/A
distilbert-base-cased,N/A,N/A,N/A,N/A
distilroberta-base,N/A,N/A,N/A,N/A
albert-base-v1,N/A,N/A,N/A,N/A
albert-base-v2,N/A,N/A,N/A,N/A
albert-large-v2,N/A,N/A,N/A,N/A
squeezebert-uncased,N/A,N/A,N/A,N/A
electra-small-discriminator,N/A,N/A,N/A,N/A
DialoGPT-small,N/A,N/A,N/A,N/A
TinyLlama-1.1B-Chat-v1.0,N/A,N/A,N/A,N/A
phi-1,N/A,N/A,N/A,N/A
phi-1_5,N/A,N/A,N/A,N/A
bert-base-uncased,N/A,N/A,N/A,N/A
bert-base-cased,N/A,N/A,N/A,N/A
bert-large-uncased,N/A,N/A,N/A,N/A
bert-large-cased,N/A,N/A,N/A,N/A
roberta-base,N/A,N/A,N/A,N/A
roberta-large,N/A,N/A,N/A,N/A
deberta-base,N/A,N/A,N/A,N/A
deberta-large,N/A,N/A,N/A,N/A
electra-base-discriminator,N/A,N/A,N/A,N/A
electra-large-discriminator,N/A,N/A,N/A,N/A
bart-base,N/A,N/A,N/A,N/A
xlm-roberta-base,N/A,N/A,N/A,N/A
xlm-roberta-large,N/A,N/A,N/A,N/A
distiluse-base-multilingual-cased,N/A,N/A,N/A,N/A
gpt2,N/A,N/A,N/A,N/A
gpt2-medium,N/A,N/A,N/A,N/A
gpt2-large,N/A,N/A,N/A,N/A
DialoGPT-medium,N/A,N/A,N/A,N/A
DialoGPT-large,N/A,N/A,N/A,N/A
gpt-neo-125m,N/A,N/A,N/A,N/A
gpt-neo-1.3B,N/A,N/A,N/A,N/A
gpt-j-6b,N/A,N/A,N/A,N/A
pythia-70m,N/A,N/A,N/A,N/A
pythia-160m,N/A,N/A,N/A,N/A
pythia-410m,N/A,N/A,N/A,N/A
pythia-1b,N/A,N/A,N/A,N/A
pythia-1.4b,N/A,N/A,N/A,N/A
pythia-2.8b,N/A,N/A,N/A,N/A
opt-125m,N/A,N/A,N/A,N/A
opt-350m,N/A,N/A,N/A,N/A
opt-1.3b,N/A,N/A,N/A,N/A
opt-2.7b,N/A,N/A,N/A,N/A
opt-6.7b,N/A,N/A,N/A,N/A
opt-6.7b,N/A,N/A,N/A,N/A
longformer-base-4096,N/A,N/A,N/A,N/A
longformer-base-4096,N/A,N/A,N/A,N/A
longformer-large-4096,N/A,N/A,N/A,N/A
longformer-large-4096,N/A,N/A,N/A,N/A
prophetnet-large-uncased,N/A,N/A,N/A,N/A
prophetnet-large-uncased,N/A,N/A,N/A,N/A
bart-large,N/A,N/A,N/A,N/A
bart-large,N/A,N/A,N/A,N/A
pegasus-xsum,N/A,N/A,N/A,N/A
pegasus-xsum,N/A,N/A,N/A,N/A
bloom-560m,N/A,N/A,N/A,N/A
bloom-560m,N/A,N/A,N/A,N/A
bloom-1b1,N/A,N/A,N/A,N/A
bloom-1b1,N/A,N/A,N/A,N/A
bloom-1b7,N/A,N/A,N/A,N/A
bloom-1b7,N/A,N/A,N/A,N/A
bloom-3b,N/A,N/A,N/A,N/A
bloom-3b,N/A,N/A,N/A,N/A
bloom-7b1,N/A,N/A,N/A,N/A
bloom-7b1,N/A,N/A,N/A,N/A
bloomz-560m,N/A,N/A,N/A,N/A
bloomz-560m,N/A,N/A,N/A,N/A
bloomz-1b1,N/A,N/A,N/A,N/A
