Model,Params (M),Memory (GB),Throughput@512,Throughput/Param,Params/GB,Overall Score
scibert_scivocab_uncased,109.9,0.41,51889,472.07,268.9,126940.16
Bio_ClinicalBERT,108.3,0.16,51995,480.06,662.4,317989.18
Bio_ClinicalBERT,108.3,0.16,51995,480.06,662.4,317989.18
biobert-base-cased-v1.1,108.3,0.12,51601,476.42,891.3,424627.95
biobert-base-cased-v1.1,108.3,0.12,51601,476.42,891.3,424627.95
finbert,109.5,0.08,52213,476.91,1367.5,652154.62
finbert,109.5,0.08,52213,476.91,1367.5,652154.62
legal-bert-base-uncased,109.5,0.07,50149,458.05,1481.5,678615.22
legal-bert-base-uncased,109.5,0.07,50149,458.05,1481.5,678615.22
CodeBERTa-small-v1,83.5,0.19,87060,1043.24,433.3,452067.43
CodeBERTa-small-v1,83.5,0.19,87060,1043.24,433.3,452067.43
GODEL-v1_1-base-seq2seq,222.9,0.02,N/A,0.00,10999.2,0.00
GODEL-v1_1-base-seq2seq,222.9,0.02,N/A,0.00,10999.2,0.00
blenderbot-400M-distill,364.8,0.94,N/A,0.00,387.7,0.00
blenderbot-400M-distill,364.8,0.94,N/A,0.00,387.7,0.00
blenderbot-1B-distill,1437.4,1.24,N/A,0.00,1161.0,0.00
blenderbot-1B-distill,1437.4,1.24,N/A,0.00,1161.0,0.00
blenderbot-3B,2696.3,0.00,N/A,0.00,785345.2,0.00
blenderbot-3B,2696.3,0.00,N/A,0.00,785345.2,0.00
pygmalion-350m,331.2,-0.17,24867,75.08,0.0,0.00
pygmalion-350m,331.2,-0.17,24867,75.08,0.0,0.00
pygmalion-1.3b,1311.6,1.03,6733,5.13,1274.6,6543.02
pygmalion-1.3b,1311.6,1.03,6733,5.13,1274.6,6543.02
pygmalion-2.7b,2651.3,-0.25,1154,0.44,0.0,0.00
pygmalion-2.7b,2651.3,-0.25,1154,0.44,0.0,0.00
